"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 28 16:35:09 UTC 2026","Sun Jun 28 16:35:13 UTC 2026","4607","","pet.PetLifeCycleTest","","pet.PetLifeCycleTest","petLifeCycleTest","Жизненный цикл 'pet'",""
"passed","Sun Jun 28 16:35:09 UTC 2026","Sun Jun 28 16:35:14 UTC 2026","4847","","user.AuthUserTest","","user.AuthUserTest","authUserTest","Авторизация пользователем с валидными данными",""
"passed","Sun Jun 28 16:35:09 UTC 2026","Sun Jun 28 16:35:13 UTC 2026","3765","","pet.UpdateStatusPetInStoreTest","","pet.UpdateStatusPetInStoreTest","statusPetInStoreTest","Изменение статуса питомца",""
"passed","Sun Jun 28 16:35:13 UTC 2026","Sun Jun 28 16:35:13 UTC 2026","427","","user.AuthNotValidTest","","user.AuthNotValidTest","notValidLoginTest","Авторизация пользователем с невалидными логином",""
"passed","Sun Jun 28 16:35:13 UTC 2026","Sun Jun 28 16:35:14 UTC 2026","1138","","user.CreateListUsersTest","","user.CreateListUsersTest","createListUsersTest","Создать одновременно несколько пользователей",""
"passed","Sun Jun 28 16:35:12 UTC 2026","Sun Jun 28 16:35:13 UTC 2026","504","","user.AuthNotValidTest","","user.AuthNotValidTest","notValidPassTest","Авторизация пользователем с невалидными паролем",""
"passed","Sun Jun 28 16:35:10 UTC 2026","Sun Jun 28 16:35:12 UTC 2026","2390","","pet.CreatingDuplicatePetTest","","pet.CreatingDuplicatePetTest","creatingDuplicateTest","Создать дубликат запись питомца",""
"passed","Sun Jun 28 16:35:12 UTC 2026","Sun Jun 28 16:35:13 UTC 2026","702","","pet.DeleteDeletedPetTest","","pet.DeleteDeletedPetTest","deleteDeletedPetTest","Удалить уже удаленного питомца",""
"passed","Sun Jun 28 16:35:09 UTC 2026","Sun Jun 28 16:35:12 UTC 2026","3058","","pet.NotValidCreatingPetTest","","pet.NotValidCreatingPetTest","notValidCreateTest","Создать запись питомца без основных полей",""
